Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",115.362500,-76.500000,180.000000,top
"C2","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.026597,-82.132311,0.000000,top
"C3","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",146.091197,-91.132311,180.000000,top
"C4","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",152.664097,-89.819810,90.000000,top
"C5","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.664097,-74.957310,0.000000,top
"C6","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.761597,-67.819810,180.000000,top
"C7","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",167.301597,-70.819810,180.000000,top
"C8","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",122.000000,-75.486476,-90.000000,top
"C10","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",141.394097,-76.606476,0.000000,top
"C11","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",137.806597,-72.606476,0.000000,top
"C12","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",137.806597,-76.606476,0.000000,top
"C13","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",157.664097,-78.219810,180.000000,top
"C14","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",167.301597,-74.957310,0.000000,top
"C15","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",152.664097,-86.457310,90.000000,top
"C16","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.801597,-70.819810,180.000000,top
"C17","100nf","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",167.261597,-67.819810,180.000000,top
"C18","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",120.314097,-75.486476,90.000000,top
"C19","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",118.500000,-75.486476,90.000000,top
"D1","850nm","LED_D5.0mm_IRGrey",173.934097,-73.319810,180.000000,top
"D2","850nm","LED_D5.0mm_IRGrey",118.894097,-69.381476,90.000000,top
"D3","850nm","LED_D5.0mm_IRGrey",133.631267,-56.000000,0.000000,top
"D4","850nm","LED_D5.0mm_IRGrey",155.971267,-56.500000,0.000000,top
"J1","debug","PinSocket_2x07_P2.54mm_Vertical",145.894097,-68.646476,-90.000000,top
"J2","battery pins 3.7v","PinSocket_1x02_P2.54mm_Vertical",125.540000,-109.500000,-90.000000,top
"J3","test 3.3v pins","PinSocket_1x02_P2.54mm_Vertical",145.894097,-76.146476,180.000000,top
"Q1","IRLZ44N","TO-220-3_Vertical",145.971267,-59.000000,180.000000,top
"R1","4.7kΩ","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.664097,-73.419810,0.000000,top
"R2","4.7kΩ","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",157.664097,-75.719810,0.000000,top
"R6","15Ω","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",171.094097,-68.819810,180.000000,top
"R7","15Ω","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",123.394097,-68.106476,90.000000,top
"R8","15Ω","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",134.587500,-60.000000,180.000000,top
"R9","15Ω","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",161.471267,-58.087500,-90.000000,top
"R14","100KΩ","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",150.471267,-59.000000,180.000000,top
"R15","100Ω","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",150.471267,-60.500000,180.000000,top
"REF**1","PS5","Joystick",165.664097,-88.132310,90.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H4.3mm",160.664097,-101.319810,0.000000,top
"SW2","SW_Push","SW_PUSH_6mm_H4.3mm",151.664097,-103.819810,90.000000,top
"SW3","SW_Push","SW_PUSH_6mm_H4.3mm",121.000000,-105.500000,90.000000,top
"U1","NRF24L01_Breakout","nRF24L01_Breakout",141.380000,-55.500000,90.000000,top
"U2","nice_nano","nice_nano",128.164097,-86.606476,0.000000,top
"U3","SS49E","SEN3_SS49E_HNW",165.636497,-65.819810,0.000000,top
"U4","SS49E","SEN3_SS49E_HNW",160.801597,-68.359810,90.000000,top
"U5","LSM6DSVTR","LGA14-L_2P59X3P1X0P5_STM-M",146.164097,-86.632310,-90.000000,top
"U8","HT7333","SOT-89-3",156.500000,-63.000000,-90.000000,top
"U9","HT7333","SOT-89-3",129.000000,-58.000000,90.000000,top
"U10","ADS1115IDGS","TSSOP-10_3x3mm_P0.5mm",153.664097,-75.819810,-90.000000,top
