Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",147.500001,-114.545400,-90.000000,top
"C2","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",159.500001,-114.545400,-90.000000,top
"C3","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",135.500000,-89.500000,180.000000,top
"C4","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.000000,-102.540000,0.000000,top
"C5","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",163.000000,-100.540000,180.000000,top
"D1","LED_RAGB","LED_D5.0mm-4_RGB_Wide_Pins",133.500000,-112.682000,-90.000000,top
"J1","Conn_02x07_Top_Bottom","PinHeader_2x07_P2.54mm_Vertical",160.160000,-83.500000,-90.000000,top
"R1","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.500000,-112.841000,0.000000,top
"R2","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.500000,-117.341000,0.000000,top
"R3","1k","R_0603_1608Metric_Pad0.98x0.95mm_HandSolder",138.500000,-119.341000,0.000000,top
"U1","LSM6DSVTR","LGA14-L_2P59X3P1X0P5_STM-M",153.500001,-114.750000,0.000000,top
"U2","nice_nano","nice_nano",144.610000,-101.120000,0.000000,top
"U3","NRF24L01_Breakout","nRF24L01_Breakout",168.960000,-97.460000,0.000000,top
